epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,69.0573,0.64812,0.92126,1,0.30596,0.00051677,0.00051677,0.00051677
2,120.774,0.26302,0.96063,1,0.06976,0.000998225,0.000998225,0.000998225
3,189.18,0.15548,1,1,0.02405,0.00142687,0.00142687,0.00142687
4,271.99,0.06156,1,1,0.0157,0.00141945,0.00141945,0.00141945
5,321.62,0.09644,0.98425,1,0.03179,0.00133693,0.00133693,0.00133693
6,384.728,0.05491,0.99213,1,0.02253,0.00125442,0.00125442,0.00125442
7,446.396,0.0604,0.99213,1,0.01563,0.0011719,0.0011719,0.0011719
8,507.313,0.05477,0.98425,1,0.02866,0.00108938,0.00108938,0.00108938
9,562.199,0.04132,1,1,0.00547,0.00100687,0.00100687,0.00100687
10,615.782,0.03858,1,1,0.00453,0.000924352,0.000924352,0.000924352
11,683.36,0.08512,1,1,0.00439,0.000841835,0.000841835,0.000841835
12,755.165,0.0505,1,1,0.00449,0.000759318,0.000759318,0.000759318
13,825.883,0.0578,1,1,0.00514,0.000676802,0.000676802,0.000676802
14,879.01,0.04446,1,1,0.00803,0.000594286,0.000594286,0.000594286
15,919.444,0.02446,1,1,0.00773,0.000511769,0.000511769,0.000511769
16,956.403,0.02692,1,1,0.00978,0.000429253,0.000429253,0.000429253
17,993.207,0.03025,1,1,0.00537,0.000346736,0.000346736,0.000346736
18,1030.5,0.03089,1,1,0.00513,0.00026422,0.00026422,0.00026422
19,1067.77,0.02688,1,1,0.004,0.000181703,0.000181703,0.000181703
20,1104.64,0.02596,1,1,0.00472,9.91865e-05,9.91865e-05,9.91865e-05
